,Locality,Type of property,Subtype of property,Price,Number of bedrooms,Livable surface,Kitchen equipment,Number of bathrooms,Number of toilets,Floor of appartment,Number of floors,Balcony,State of the property,Build Year,Surface bedroom 1,Furnished,Surface of living-room,Cellar,Surface kitchen,Entry phone,Elevator,Number of showers,Orientation of the front facade,Number of facades,Terrace,Surface terrace,Surface bedroom 2,Security door,Access for disabled,Sewer Connection,Garden,Surface garden,Surface bedroom 3,Garage
10834,6001 Marcinelle,flat,apartment,110000,3,113.0,Partially equipped,1,1,7,,0,Excellent,1996,15.331615401060045,0,33.09837153020326,0,12.309901389923265,1,1,1,,2,0,0,12.41077225055691,0,0,1,0,,10.07613944996706,1
10835,6001 Marcinelle,flat,apartment,80000,3,85.0,Partially equipped,1,1,7,,0,Excellent,,9.0,1,23.0,0,11.0,1,1,1,,2,0,0,15.0,0,1,1,0,,12.0,1
10836,6001 Marcinelle,flat,apartment,74000,1,45.0,Super equipped,1,1,,,0,Normal,,6.105510557944266,0,13.18076742353227,0,4.902173119880946,1,0,1,,2,0,0,4.942342931637707,0,0,1,0,,4.012621904854139,0
10837,6001 Marcinelle,flat,apartment,85000,2,60.0,Partially equipped,1,1,1,3,0,Excellent,,12.0,0,20.0,0,10.0,1,0,1,,2,1,,14.0,0,0,1,0,,5.350162539805519,0
10838,6001 Marcinelle,flat,apartment,150000,2,87.0,Partially equipped,2,2,,5,0,Excellent,,19.0,0,29.0,1,6.0,1,1,1,,2,0,0,12.0,0,0,1,0,,7.7577356827180015,1
10839,6001 Marcinelle,flat,apartment,74000,2,80.0,Partially equipped,1,1,12,,0,New,,10.854240991900916,0,23.432475419612928,0,8.714974435343905,1,0,1,,2,0,,8.786387434022592,0,0,1,0,,7.133550053074025,0
10840,6001 Marcinelle,flat,apartment,115000,2,85.0,Partially equipped,1,1,,,0,Excellent,,11.532631053894724,0,24.897005133338734,0,9.2596603375529,1,1,1,,2,0,0,9.335536648649002,0,1,1,0,,7.579396931391152,0
10841,6001 Marcinelle,flat,apartment,126000,4,110.0,Fully equipped,1,1,1,,0,Normal,,14.92458136386376,0,25.0,1,11.983089848597869,1,1,1,,2,0,0,12.081282721781063,0,0,1,0,,9.808631322976783,0
10842,6001 Marcinelle,flat,apartment,105000,2,88.0,Partially equipped,1,1,10,16,1,Fully renovated,1968,11.939665091091008,0,25.775722961574218,0,9.586471878878296,1,1,1,,2,1,3.0,9.665026177424851,1,1,1,1,1000.0,7.846905058381427,0
10843,6001 Marcinelle,house,mixed-building,142000,3,,Partially equipped,1,1,,,0,Normal,,,0,,0,,0,0,1,,3,0,0,,0,0,1,0,,,0
10844,6001 Marcinelle,flat,apartment,195000,4,220.0,Partially equipped,2,1,,,0,New,,29.84916272772752,0,64.43930740393554,0,23.966179697195738,1,0,1,,2,0,0,24.162565443562126,0,0,1,0,,19.617262645953566,0
10845,6001 Marcinelle,house,residence,125000,2,104.0,Partially equipped,1,1,,,0,To be renovated,,14.110513289471191,0,30.462218045496805,1,11.329466765947076,0,0,1,,2,1,,11.422303664229368,0,0,1,1,,9.273615068996232,0
10846,6001 Marcinelle,house,residence,135000,2,98.0,Partially equipped,1,1,,,0,Normal,1930,13.296445215078622,0,28.704782389025834,0,10.675843683296284,0,0,1,,2,1,,10.763324606677674,0,0,1,1,,8.738598815015681,0
10847,6001 Marcinelle,flat,apartment,110000,2,85.0,Partially equipped,1,1,,,0,Normal,1968,11.532631053894724,0,24.897005133338734,0,9.2596603375529,1,0,1,,2,1,4.0,9.335536648649002,0,0,1,0,,7.579396931391152,0
10848,6010 Couillet,house,residence,169000,4,190.0,Partially equipped,2,1,,,0,Normal,,25.778822355764678,0,27.0,0,20.698064283941775,0,0,1,,2,0,0,20.867670155803655,0,0,1,0,,16.942181376050808,0
10849,6010 Couillet,house,residence,99000,2,134.0,Not equipped,1,2,,2,0,Normal,,15.0,0,39.24939632785165,1,10.0,0,0,1,,3,0,0,13.0,0,0,1,1,197.0,11.94869633889899,0
10850,6010 Couillet,house,villa,285000,5,225.0,Partially equipped,2,2,,,0,Excellent,,30.527552789721327,0,65.90383711766135,0,24.510865599404735,0,0,2,South,4,0,0,24.711714658188537,0,1,1,1,2000.0,20.063109524270693,0
10851,6010 Couillet,house,residence,199000,5,200.0,Partially equipped,2,3,,,0,To be renovated,,27.13560247975229,0,58.58118854903231,1,21.78743608835976,0,0,3,,3,0,0,21.965968585056476,0,0,1,0,,17.833875132685062,1
10852,6010 Couillet,house,residence,175000,3,142.0,Partially equipped,1,1,,,0,Excellent,,8.0,0,27.0,0,22.0,0,0,1,North-west,3,0,0,12.0,0,0,1,1,186.0,12.0,0
10853,6010 Couillet,house,residence,120000,3,125.0,Partially equipped,1,1,,,0,To be renovated,,16.959751549845183,0,36.613242843145194,1,13.617147555224852,0,0,1,South-west,2,0,0,13.728730365660299,0,0,1,1,80.0,11.146171957928164,0
10854,6010 Couillet,house,residence,150000,2,145.0,Partially equipped,1,2,,1,0,To be renovated,,12.0,0,33.0,1,15.795891164060828,0,0,1,South,4,1,22.0,16.0,0,0,1,1,400.0,12.92955947119667,0
10855,6010 Couillet,flat,apartment,104000,1,74.0,Super equipped,1,1,,,0,Normal,,10.040172917508349,0,21.675039763141957,0,8.061351352693112,1,1,1,,2,0,0,8.127408376470896,0,0,1,0,,6.598533799093473,1
